sort,title,releaseYear,aspectRatio,runtime,director,writer,cinematographer,editor,composer,publisher,format,resolution,hdr,discs,steelbook,slipcover,color,animation,mpaa,mpaa_cert,distributor,mpaa_reason_raw,mpaa_reason,alt_title,caseReplacement,action,sciFi,western,crime,noir,period,wuxia,fantasy,mystery,dark,gritty,comedy,heist,horror,martial arts,violent
37,The Dark Knight,2008,2.4,153,Christopher Nolan,"Jonathan Nolan,Christopher Nolan",Wally Pfister,Lee Smith,"Hans Zimmer,James Newton Howard",Warner Bros. Entertainment Inc,Blu-Ray,1080,,2,,,,,pg-13,44427,Warner Bros. Pictures Inc.,Rated PG-13 for intense sequences of violence and some menace. ,"intense sequences of violence,some menace",Rory's First Kiss ,,TRUE,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,
38,Days of Heaven,1978,1.85,97,Terrence Malick,Terrence Malick,Nestor Almendros,Bill Weber,Ennio Morricone,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,pg,25199,Paramount Pictures Corp.,,,,,,,,,,TRUE,,,,TRUE,,,,,,
39,Dazed and Confused,1993,1.85,102,Richard Linklater,Richard Linklater,Lee Daniel,Sandra Adair,,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,32381,Gramercy Pictures,"Rated R for pervasive, continuous teen drug and alcohol use and very strong language.","pervasive continuous teen drug and alcohol use,very strong language",,,,,,,,TRUE,,,,,,TRUE,,,,
40,Deep Cover,1992,1.85,107,Bill Dukes,"Michael Tolkin,Henry Bean",Bojan Bazelli,John Carter,Michel Colombier,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,31647,New Line Cinema,"Rated R for violence, language, drug use and sensuality.","violence,language,drug use,sensuality",,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE
41,Double Indemnity,1944,1.37,108,Billy Wilder,"Billy Wilder,Raymond Chandler",John F. Seitz,Doane Harrison,Miklós Rózsa,The Criterion Collection,4K_UHD,2160,dolby vision,3,,,FALSE,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,
42,Drive,2011,2.39,100,Nicholas Winding Refn,Hossein Amini,Newton Thomas Siegel,Mat Newman,Cliff Martinez,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,2,TRUE,,,,r,46543,"FilmDistrict Distribution, LLC","Rated R for strong brutal bloody violence, language and some nudity.","strong brutal bloody violence,language,some nudity",,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE
43,Dune,2021,2.39,155,Denis Villeneuve,"Jon Spaihts,Denis Villeneuve,Eric Roth",Greig Fraser,Joe Walker,Hans Zimmer,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,2,,,,,pg-13,53003,Warner Bros. Pictures,"Rated PG-13 for sequences of strong violence, some disturbing images and suggestive material.","sequences of strong violence,some disturbing images,suggestive material",,,TRUE,TRUE,,,,,,,,,,,,,,
44,Dune: Part Two,2024,2.39,166,Denis Villeneuve,"Denis Villeneuve,Jon Spaihts",Greig Fraser,Joe Walker,Hans Zimmer,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,1,,,,,pg-13,54589,Legendary Features Productions US LLC & Warner Bros. Pictures,"Rated PG-13 for sequences of strong violence, some suggestive material and brief strong language.","sequences of strong violence,some suggestive material,brief strong language",,,TRUE,TRUE,,,,,,,,,,,,,,
45,Ed Wood,1993,1.85,127,Tim Burton,"Scott Alexander,Larry Karaszewski",Stefan Czapsky,Chris Lebenzon,Howard Shore,"Buena Vista Home Entertainment, Inc.",Blu-Ray,1080,,1,,,FALSE,,r,33300,"Buena Vista Pictures Distribution, Inc.",Rated R for some strong language.,some strong language,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,
46,Election,1999,2.39,102,Alexander Payne,"Alexander Payne,Jim Taylor",James Glennon,Kevin Tent,Rolfe Kent,Paramount Pictures,4K_UHD,2160,dolby vision,2,,TRUE,,,r,36129,Paramount Pictures Corporation,"Rated R for strong sexuality, sex-related dialogue and language, and a scene of drug use.","strong sexuality,sex-related dialogue and language,a scene of drug use",,,,,,,,,,,,TRUE,,TRUE,,,,
47,Enter the Dragon,1973,2.39,99,Robert Clouse,Michael Allin,Gilbert Hubbs,"Kurt Hirschler,George Watters",Lalo Schifrin,Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,1,,TRUE,,,r,23684,Warner Bros. Inc.,,,"Deadly Three, The",,TRUE,,,TRUE,,,,,,,TRUE,,,,TRUE,TRUE
48,Escape From New York,1981,2.35,98,John Carpenter,"John Carpenter,Nick Castle",Dean Cundey,Todd Ramsay,"John Carpenter,Alan Howarth",Shout! Factory LLC,4K_UHD,2160,dolby vision,3,TRUE,,,,r,26282,Avco Embassy Pictures,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE
49,E.T. The Extra-Terrestrial,1982,1.85,115,Steven Spielberg,Melissa Mathison,Allen Daviau,Michael Kahn,John Williams,Universal Studios,4K_UHD,2160,hdr10,2,,,,,pg,26717,"Universal City Studios, Inc.",,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,
50,Ex Machina,2014,2.4,108,Alex Garland,Alex Garland,Rob Hardy,Mark Day,"Ben Salisbury,Geoff Barrow",Lions Gate Entertainment Inc,4K_UHD,2160,hdr10,2,,,,,r,49152,A24,"Rated R for graphic nudity, language, sexual references and some violence.","graphic nudity,language,sexual references,some violence",Ex-Machina,,,TRUE,,,,,,,,TRUE,,,,TRUE,,TRUE
51,Fargo,1996,1.85,98,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",Roger A. Deakins,Roderick Jaynes,Carter Burwell,Twentieth Century Fox Home Entertainment LLC,Blu-Ray,1080,,2,,,,,r,34206,Gramercy Pictures,"Rated R for strong violence, language and sexuality.","strong violence,language,sexuality",,,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,TRUE
52,Ferrari,2023,2.39,130,Michael Mann,Troy Kennedy Martin,Erik Messerschmidt,Pietro Scalia,Daniel Pemberton,Universal Studios,4K_UHD,2160,hdr10,1,,TRUE,,,r,54571,NEON,"Rated R for some violent content/graphic images, sexual content and language.","some violent content/graphic images,sexual content,language",,,,,,,,TRUE,,,,,,,,,,TRUE
53,The Fifth Element,1997,2.39,126,Luc Besson,"Luc Besson,Robert Mark Kamen",Thierry Arbogast,Sylvie Landra,Eric Serra,Studiocanal Limited,4K_UHD,2160,dolby vision,2,,TRUE,,,pg-13,34794,Columbia Pictures,"Rated PG-13 for intense sci-fi violence, some sexuality and brief nudity.","intense sci-fi violence,some sexuality,brief nudity",,,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE
54,Forgetting Sarah Marshall,2008,1.85,111,Nicholas Stoller,Jason Segel,Russ T. Alsobrook,William Kerr,Lyle Workman,Universal Studios,Blu-Ray,1080,,2,,,,,r,44109,Universal Studios,"Rated R for sexual content, language and some graphic nudity.","sexual content,language,some graphic nudity",,,,,,,,,,,,TRUE,,TRUE,,,,
55,Friday Night Lights,2004,2.35,118,Peter Berg,"David Aaron Cohen,Peter Berg",Tobias Schliessler,David Rosenbloom,,Universal Studios,Blu-Ray,1080,,1,,,,,pg-13,41170,Universal Studios,"Rated PG-13 for thematic issues, sexual content, language, some teen drinking and rough sports action.","thematic issues,sexual content,language,some teen drinking,rough sports action",,,,,,,,TRUE,,,,TRUE,TRUE,,,,,
56,Funny People,2009,1.85,146,Judd Apatow,Judd Apatow,Janusz Kaminski,"Brent White,Craig Alpert","Jason Schwartzman,Michael Andrews",Universal Studios,Blu-Ray,1080,,2,,,,,r,45381,Universal Studios,"Rated R for language and crude sexual humor throughout, and some sexuality.","language and crude sexual humor throughout,some sexuality",,,,,,,,,,,,,,TRUE,,,,
57,Furiosa: A Mad Max Saga,2024,2.39,148,George Miller,"George Miller,Nick Lathouris",Simon Duggan,"Eliot Knapman,Margaret Sixel",Tom Holkenborg,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,2,TRUE,,,,r,54912,Warner Bros. Pictures,"Rated R for sequences of strong violence, and grisly images.","sequences of strong violence,grisly images",,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE
58,The Game,1997,2.4,128,David Fincher,"John Brancato,Michael Ferris",Harris Savides,James Haygood,Howard Shore,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,35106,Polygram Films,"Rated R for language, and for some violence and sexuality. ","language,some violence and sexuality",,,,,,,TRUE,,,,,TRUE,,,,,,TRUE
59,Gattaca,1997,2.39,106,Andrew Niccol,Andrew Niccol,Slawomir Idziak,Lisa Zeno Churgin,Michael Nyman,Sony Pictures Home Entertainment,4K_UHD,2160,hdr10,2,TRUE,,,,pg-13,34793,Columbia Pictures,"Rated PG-13 for brief violent images, language and some sexuality.","brief violent images,language,some sexuality",,,,TRUE,,,TRUE,,,,TRUE,,,,,,,
60,Ghost Dog: The Way of the Samurai,1999,1.85,116,Jim Jarmusch,Jim Jarmusch,Robby Müller,Jay Rabinowitz,RZA,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,36695,Artisan Pictures Inc.,Rated R for strong violence and language.,"strong violence,language",Ghost Dog,,,,,TRUE,,,,,,TRUE,,,,,,TRUE
61,Ghost in the Shell,1995,1.85,83,Mamorou Oshii,Kazunori Ito,Toshihiko Nishikubo,Shuichi Kakesu,Kenji Kawai,Lions Gate Entertainment Inc,4K_UHD,2160,dolby vision,2,,,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,TRUE
62,The Girl with the Dragon Tattoo,2011,2.4,158,David Fincher,Steve Zaillian,Jeff Cronenweth,"Kirk Baxter,Angus Wall","Trent Reznor,Atticus Ross",Sony Pictures Home Entertainment,Blu-Ray,1080,,2,,,,,r,46597,Columbia Pictures,"Rated R for brutal violent content including rape and torture, strong sexuality, graphic nudity, and language.","brutal violent content including rape and torture,strong sexuality,graphic nudity,language",,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
